LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
73080,Production,New Construction,Refi-External,Texas,Waxahachie,Ellis,75165,1,1,"6,705","6,705",$105.89
73070,Production,Fix and Flip,Purchase,California,Bakersfield,Kern,93308,1,1,"25,000","25,000",$63.80
73066,Production,New Construction,Refi-External,South Carolina,North Charleston,Charleston,29406,2,8,"7,984","1,996",$87.63
73062,Production,New Construction,Purchase,New Jersey,Chatham,Morris,07928,2,2,"11,553","11,553",$199.90
73061,Production,New Construction,Refi-External,Georgia,Dacula,Gwinnett,30019,1,1,"7,243","7,243",$68.09
73058,Production,New Construction,Refi-External,Florida,Summerfield,Marion,34491,3,3,"5,766","5,766",$128.53
73056,Production,New Construction,Refi-External,Idaho,Tamarack,Valley,83615,1,1,"3,294","3,294",$164.83
73052,Production,New Construction,Purchase,Texas,Blanco,Blanco,78606,2,2,"5,077","5,077",$249.39
73050,Production,New Construction,Refi-Internal,Colorado,Parker,Douglas,80134,1,20,"23,090","1,085",$189.00
73049,Production,New Construction,Refi-External,Tennessee,Nashville,Davidson,37218,9,9,"17,860","17,860",$143.02
73048,Servicing,New Construction,Purchase,California,Coronado,San Diego,92118,1,4,"6,764","1,710",$561.53
73047,Servicing,New Construction,Refi-Internal,California,Los Angeles,Los Angeles,90062,2,4,"6,580","3,290",$227.34
73041,Servicing,New Construction,Refi-External,California,Los Angeles,Los Angeles,90039,1,6,"14,909","2,306",$287.28
73039,Production,All In One,Refi-External,California,San Carlos,San Mateo,94070,1,24,"28,670","1,136",$610.51
73037,Production,New Construction,Refi-External,New York,Brooklyn,Kings,11206,1,7,"13,396","1,634",$509.93
73036,Production,All In One,Refi-External,Florida,Punta Gorda,Charlotte,33950,2,18,"42,864","4,596",$223.92
73035,Servicing,New Construction,Refi-External,Idaho,Boise,Ada,83714,6,6,"11,614","11,614",$131.74
73034,Servicing,New Construction,Refi-Internal,California,Merced,Merced,95348,18,18,"32,468","32,468",$155.40
73030,Production,New Construction,Refi-External,Florida,Lehigh Acres,Lee,33976,3,3,"7,251","7,251",$99.71
73025,Servicing,New Construction,Refi-External,Arizona,Phoenix,Maricopa,85012,1,60,"67,085",973,$271.24
73024,Production,New Construction,Refi-External,California,West Hollywood,Los Angeles,90046,1,6,"8,429","1,273",$658.03
73022,Production,All In One,Refi-External,Colorado,Vail,Eagle,81657,1,4,"19,520","4,880",$462.12
73020,Servicing,New Construction,Purchase,Washington,Stanwood,Island,98282,1,1,"1,951","1,951",$179.40
73018,Production,New Construction,Refi-External,Virginia,Front Royal,Warren,22630,2,2,"4,600","4,600",$239.13
73013,Production,New Construction,Refi-External,Michigan,New Buffalo,Berrien,49117,1,1,"4,900","4,900",$101.84
73012,Servicing,All In One,Refi-External,Colorado,Vail,Eagle,81657,3,13,"45,324","12,103",$447.20
73009,Servicing,New Construction,Refi-External,California,Sunnyvale,Santa Clara,94085,2,9,"16,569","3,650",$300.10
73008,Servicing,New Construction,Refi-External,California,Sunnyvale,Santa Clara,94085,2,9,"16,568","3,649",$299.99
73005,Servicing,New Construction,Purchase,Texas,Dallas,Dallas,75215,2,12,"23,100","3,850",$168.86
73002,Production,New Construction,Refi-External,California,Rancho Santa Fe,San Diego,92067,2,2,"15,200","15,200",$295.10
73001,Servicing,New Construction,Refi-External,Georgia,Atlanta,Fulton,30315,1,2,"4,324","2,138",$185.01
72999,Production,All In One,Refi-External,California,Escondido,San Diego,92026,7,7,"23,316","23,316",$206.79
72997,Servicing,All In One,Purchase,Tennessee,Nashville,Davidson,37207,5,19,"35,100","7,800",$172.02
72993,Servicing,New Construction,Refi-External,Illinois,North Aurora,Kane,60542,2,2,"6,900","6,900",$101.47
72991,Production,All In One,Refi-External,California,Cathedral City,Riverside,92234,12,24,"38,346","14,244",$173.72
72990,Production,All In One,Refi-External,California,Cathedral City,Riverside,92234,12,24,"38,514","14,244",$173.02
72989,Production,New Construction,Refi-External,Washington,Yakima,Yakima,98902,6,6,"6,359","6,359",$869.17
72987,Servicing,New Construction,Refi-External,Texas,Houston,Harris,77091,14,14,"26,713","26,713",$111.45
72986,Production,New Construction,Refi-External,Colorado,Blue River,Summit,80424,1,1,"3,900","3,900",$327.00
72985,Servicing,New Construction,Refi-Internal,Arizona,Cave Creek,Maricopa,85331,1,1,"4,728","4,728",$242.62
72980,Servicing,New Construction,Refi-External,Utah,Highland,Utah,84003,2,2,"13,897","13,897",$159.25
72979,Production,All In One,Refi-External,Montana,Bozeman,Gallatin,59718,3,11,"21,833","5,907",$559.69
72976,Servicing,New Construction,Refi-External,Texas,Midlothian,Ellis,76065,11,11,"31,759","31,759",$112.85
72974,Production,New Construction,Refi-External,Georgia,Atl,Fulton,30342,1,1,"5,353","5,353",$267.14
72967,Servicing,New Construction,Refi-External,California,Larkfield-Wikiup,Sonoma,95403,2,2,"5,382","5,382",$199.82
72962,Production,New Construction,Refi-External,Texas,Fort Worth,Tarrant,76107,2,12,"17,716","2,948",$428.09
72959,Servicing,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,4,4,"6,648","6,648",$125.26
72958,Servicing,New Construction,Refi-External,Oregon,Bend,Deschutes,97702,12,12,"19,600","19,600",$222.91
72955,Servicing,New Construction,Refi-External,Florida,Kissimmee,Osceola,34758,3,3,"5,550","5,550",$120.08
72954,Servicing,All In One,Purchase,Texas,Edinburg,Hidalgo,78541,10,10,"37,800","37,800",$96.30
72944,Servicing,New Construction,Purchase,North Carolina,Holden Beach,Brunswick,28462,1,1,"3,100","3,100",$183.87
72943,Production,New Construction,Purchase,North Carolina,Carolina Bch,New Hanover,28428,1,4,"6,940","1,735",$226.34
72942,Production,New Construction,Purchase,North Carolina,Carolina Bch,New Hanover,28428,1,8,"13,880","1,735",$226.34
72933,Production,New Construction,Refi-External,Florida,Ocklawaha,Marion,32179,8,8,"15,040","15,040",$640.70
72932,Production,New Construction,Refi-External,Colorado,Pueblo West,Pueblo,81007,1,1,"2,161","2,161",$147.65
72931,Production,New Construction,Refi-External,Florida,Ocala,Marion,34473,10,10,"16,920","16,920",$79.98
72928,Production,All In One,Refi-External,Texas,Fort Worth,Tarrant,76244,2,16,"30,309","3,682",$227.25
72925,Production,All In One,Refi-External,California,La Quinta,Riverside,92253,4,4,"18,798","18,798",$408.39
72924,Production,All In One,Refi-External,California,La Quinta,Riverside,92253,5,5,"25,841","25,841",$394.10
72919,Servicing,New Construction,Refi-External,North Carolina,Cornelius,Mecklenburg,28031,4,97,"396,901","3,462",$116.42
72918,Servicing,New Construction,Refi-External,Florida,Tampa,Hillsborough,33606,1,2,"6,138","3,069",$146.63
72916,Servicing,New Construction,Refi-External,Utah,Garland,Box Elder,84312,14,14,"21,080","21,080",$259.29
72915,Servicing,New Construction,Refi-External,Florida,Pt Charlotte,Charlotte,33981,5,5,"8,091","8,091",$142.80
72914,Production,All In One,Refi-External,California,La Quinta,Riverside,92253,4,4,"20,726","20,726",$393.59
72912,Servicing,New Construction,Refi-External,Florida,Ocklawaha,Marion,32179,6,6,"11,280","11,280",$80.72
72911,Servicing,New Construction,Refi-External,Florida,Pt Charlotte,Charlotte,33954,2,2,"3,712","3,712",$127.10
72908,Production,New Construction,Refi-External,Idaho,Caldwell,Canyon,83607,1,1,"3,009","3,009",$156.20
72902,Servicing,New Construction,Refi-Internal,Colorado,Edgewater,Jefferson,80214,2,8,"20,228","4,586",$74.43
72898,Production,New Construction,Refi-External,Texas,Houston,Harris,77022,2,2,"3,866","3,866",$258.72
72894,Production,New Construction,Refi-External,Washington,Bellingham,Whatcom,98226,1,1,"2,344","2,344",$170.65
72892,Production,New Construction,Refi-External,Virginia,Rhoadesville,Orange,22542,3,3,"4,050","4,050",$555.56
72891,Servicing,New Construction,Purchase,Utah,Saratoga Springs,Utah,84045,3,3,"12,279","12,279",$102.38
72870,Production,New Construction,Purchase,Georgia,Atlanta,Fulton,30315,1,1,"3,000","3,000",$113.04
72868,Production,New Construction,Refi-External,Colorado,Denver,Denver,80249,3,60,"70,401","3,408",$162.01
72867,Production,New Construction,Purchase,Illinois,Chicago,Cook,60642,1,6,"9,723","1,499",$198.94
72866,Servicing,All In One,Purchase,California,Visalia,Tulare,93291,31,31,"51,825","51,825",$103.72
72862,Production,New Construction,Refi-External,Florida,St Lucie West,Saint Lucie,34986,1,1,"3,318","3,318",$231.03
72859,Servicing,New Construction,Refi-External,North Carolina,Chapel Hill,Orange,27514,1,1,"3,100","3,100",$161.94
72854,Servicing,New Construction,Refi-External,California,San Dimas,Los Angeles,91773,10,18,"46,092","46,092",$248.20
72853,Servicing,New Construction,Purchase,Washington,Stanwood,Island,98282,1,1,"2,315","2,315",$172.79
72852,Servicing,New Construction,Purchase,North Carolina,Catawba Heights,Gaston,28012,1,1,"3,408","3,408",$334.89
72849,Production,New Construction,Refi-External,North Carolina,Highlands,Macon,28741,1,1,"3,500","3,500",$392.86
72848,Servicing,New Construction,Purchase,Oregon,Estacada,Clackamas,97023,5,5,"11,815","11,815",$136.50
72847,Servicing,New Construction,Purchase,Washington,West Richland,Benton,99353,2,2,"5,000","5,000",$138.00
72843,Servicing,New Construction,Refi-External,Oregon,Woodburn,Marion,97071,24,94,"188,000","48,000",$91.10
72842,Servicing,New Construction,Purchase,Washington,Stanwood,Island,98282,1,1,"1,488","1,488",$134.41
72838,Servicing,New Construction,Refi-External,Florida,Palm Bay,Brevard,32908,4,4,"9,220","9,220",$89.75
72835,Servicing,All In One,Refi-External,Texas,Wylie,Collin,75098,20,20,"70,373","70,373",$97.70
72827,Production,All In One,Purchase,Oregon,Albany,Linn,97322,4,4,"12,592","12,592",$115.93
72824,Servicing,New Construction,Refi-External,Utah,Peoa,Summit,84061,3,3,"16,320","16,320",$257.73
72821,Servicing,Bridge to Build,Purchase,Florida,Punta Gorda,Palm Beach,33418,3,3,"3,099","3,099",$274.28
72820,Production,New Construction,Refi-External,Tennessee,Nashville,Davidson,37218,17,34,"73,100","36,550",$191.01
72817,Servicing,New Construction,Refi-External,Idaho,Eagle,Ada,83616,1,1,"3,500","3,500",$400.00
72814,Servicing,New Construction,Refi-External,Massachusetts,Lancaster,Worcester,01523,33,33,"42,030","42,030",$163.26
72812,Servicing,All In One,Purchase,Texas,Grapevine,Tarrant,76051,3,10,"28,870","9,288",$414.96
72808,Servicing,New Construction,Refi-External,Washington,Tacoma,Pierce,98404,5,5,"9,088","9,088",$191.20
72805,Production,Fix and Flip,Refi-External,California,La Jolla,San Diego,92037,1,1,"8,425","8,425",$110.92
72804,Servicing,New Construction,Purchase,Oregon,Lincoln City,Lincoln,97367,3,12,"13,380","2,640",$267.99
72802,Servicing,All In One,Refi-External,California,Citrus Hts,Sacramento,95610,8,8,"9,216","9,216",$963.08
72801,Production,New Construction,Refi-External,Florida,Pt Charlotte,Charlotte,33954,2,2,"3,712","3,712",$137.16
72800,Servicing,Fix and Flip,Purchase,Washington,Kirkland,King,98034,1,1,"2,410","2,410",$92.45
72797,Servicing,New Construction,Refi-External,Washington,Bethel,Pierce,98387,1,1,"2,285","2,285",$186.00
72796,Servicing,New Construction,Refi-External,Utah,Snyderville,Summit,84098,1,1,"6,174","6,174",$499.02
72793,Servicing,All In One,Refi-External,Tennessee,Nashville,Davidson,37218,6,37,"92,648","15,024",$129.79
72791,Production,Bridge,Refi-External,Washington,Seattle,King,98144,1,1,326,326,$276.07
72790,Servicing,New Construction,Refi-Internal,Colorado,Parker,Douglas,80134,7,74,"41,839","2,144",$185.87
72788,Production,New Construction,Refi-External,California,Chowchilla,Madera,93610,4,4,"7,600","7,600",$736.84
72786,Servicing,All In One,Refi-External,Connecticut,Manchester,Hartford,06042,6,37,"37,800","5,400",$147.64
72785,Servicing,New Construction,Refi-External,Alabama,Gulf Shores,Baldwin,36542,1,1,850,850,$650.71
72782,Servicing,New Construction,Refi-External,Florida,Ocala,Marion,34473,6,6,"9,540","9,540",$113.43
72780,Servicing,New Construction,Purchase,California,Roseville,Placer,95747,6,6,"19,629","19,629",$180.17
72778,Servicing,New Construction,Refi-External,Florida,Leesburg,Lake,34788,6,6,"13,710","13,710",$101.35
72776,Servicing,New Construction,Refi-External,Tennessee,Nashville,Davidson,37216,36,72,"127,294","61,137",$155.09
72775,Servicing,New Construction,Refi-Internal,Idaho,Boise,Ada,83714,3,3,"4,680","4,680",$134.54
72774,Servicing,New Construction,Refi-External,Georgia,Athens,Clarke,30606,3,3,"7,900","7,900",$132.38
72773,Servicing,New Construction,Refi-External,Utah,Francis,Summit,84036,3,3,"7,460","7,460",$232.40
72769,Servicing,New Construction,Purchase,Utah,Elwood,Box Elder,84337,3,3,"9,413","9,413",$106.66
72766,Servicing,All In One,Refi-External,Washington,Tacoma,Pierce,98404,7,7,"9,100","9,100",$255.02
72761,Servicing,New Construction,Refi-External,Texas,Dallas,Dallas,75219,3,21,"44,100","6,300",$168.17
72760,Servicing,All In One,Refi-External,California,Visalia,Tulare,93291,34,34,"58,792","58,792",$98.39
72755,Servicing,All In One,Purchase,Utah,Lindon,Utah,84042,2,7,"14,990","2,072",$121.08
72754,Production,New Construction,Refi-External,Virginia,Rhoadesville,Orange,22542,1,1,"1,350","1,350",$185.19
72753,Servicing,New Construction,Purchase,Colorado,Elbert,El Paso,80106,10,10,"41,809","41,809",$180.26
72751,Production,New Construction,Purchase,Idaho,Melba,Canyon,83641,3,3,"4,521","4,521",$108.69
72750,Servicing,New Construction,Refi-External,Utah,Garden City,Rich,84028,2,16,"26,480","3,310",$338.71
72749,Servicing,New Construction,Refi-External,Montana,Thompson Falls,Sanders,59873,2,2,"3,347","3,347",$149.49
72748,Production,New Construction,Refi-External,District of Columbia,Washington,District of Columbia,20011,1,34,"28,864",717,$161.97
72746,Servicing,New Construction,Refi-External,North Carolina,Supply,Brunswick,28462,4,96,"143,328","5,260",$172.82
72742,Production,All In One,Purchase,Utah,Provo,Utah,84601,4,4,"13,044","13,044",$610.86
72741,Servicing,New Construction,Purchase,Idaho,Boise,Ada,83704,4,4,"6,600","6,600",$170.46
72740,Servicing,New Construction,Refi-External,Idaho,Priest Lake,Bonner,83856,1,1,"2,867","2,867",$273.02
72739,Servicing,New Construction,Refi-Internal,Idaho,Eagle,Ada,83616,10,10,"31,501","31,501",$163.28
72738,Production,New Construction,Refi-Internal,Idaho,Nampa,Canyon,83651,3,3,"8,141","8,141",$98.67
72736,Servicing,All In One,Refi-External,Georgia,Covington,Newton,30016,40,40,"75,580","75,580",$93.73
72735,Production,All In One,Purchase,Georgia,Athens,Clarke,30606,6,6,"11,500","11,500",$695.65
72733,Servicing,New Construction,Refi-External,Florida,Tampa,Hillsborough,33610,2,2,"3,400","3,400",$114.33
72732,Production,All In One,Refi-External,Washington,Renton,King,98058,6,6,"19,200","19,200",$75.52
72730,Production,New Construction,Refi-Internal,California,San Diego,San Diego,92106,1,1,"2,998","2,998",$266.84
72726,Servicing,New Construction,Refi-Internal,Texas,Fort Worth,Tarrant,76112,5,14,"26,218","9,302",$127.48
72719,Servicing,New Construction,Refi-Internal,Florida,Davie,Broward,33314,3,12,"17,160","4,290",$140.21
72718,Servicing,New Construction,Refi-External,Texas,Houston,Harris,77055,4,4,"7,436","7,436",$107.76
72717,Servicing,New Construction,Refi-External,Georgia,Douglasville,Douglas,30135,1,1,"3,577","3,577",$83.87
72716,Servicing,New Construction,Refi-External,Florida,Winter Garden,Orange,34787,2,9,"27,959","5,652",$155.18
72714,Production,New Construction,Refi-Internal,Texas,Ennis,Ellis,75119,2,2,"10,574","10,574",$103.26
72712,Servicing,New Construction,Refi-Internal,Washington,Seattle,King,98106,2,8,"10,120","2,530",$274.05
72711,Servicing,All In One,Refi-External,Georgia,Dallas,Paulding,30157,134,134,"2,544,553","2,544,553",$102.71
72710,Production,New Construction,Refi-External,Florida,North Miami,Miami-Dade,33181,1,1,"6,300","6,300",$429.71
72709,Production,New Construction,Purchase,New Jersey,Jersey City,Hudson,07305,2,2,"3,443","3,443",$179.56
72702,Servicing,New Construction,Purchase,Texas,Taylor Lk Vlg,Harris,77586,1,12,"18,000","1,250",$138.89
72701,Servicing,New Construction,Purchase,Oregon,Estacada,Clackamas,97023,5,5,"12,281","12,281",$129.23
72698,Servicing,New Construction,Refi-External,Colorado,Cedaredge,Delta,81413,2,2,"3,876","3,876",$152.22
72695,Servicing,New Construction,Refi-External,Texas,Austin,Travis,78734,4,7,"20,727","16,467",$328.65
72694,Servicing,New Construction,Refi-External,Utah,Francis,Summit,84036,2,2,"4,354","4,354",$213.39
72693,Servicing,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80010,2,108,"83,684","1,372",$330.71
72689,Production,Fix and Flip,Refi-External,North Dakota,Williston,Williams,58801,1,4,"3,000",750,$50.00
72686,Production,All In One,Refi-External,Washington,Snohomish,Snohomish,98290,3,3,"4,800","4,800",$177.08
72684,Servicing,New Construction,Refi-External,Utah,Kamas,Summit,84036,1,2,"5,518","2,504",$408.69
72681,Servicing,New Construction,Purchase,Idaho,Star,Ada,83669,1,1,"3,092","3,092",$170.44
72676,Production,Bridge,Refi-External,Texas,Prairie View,Harris,77484,2,2,625,625,$600.00
72674,Servicing,New Construction,Refi-External,California,Valley Center,San Diego,92082,36,52,"74,684","51,452",$116.08
72672,Servicing,New Construction,Refi-Internal,Utah,Garden City,Rich,84028,4,19,"35,715","7,505",$123.01
72671,Servicing,All In One,Refi-External,Utah,Salem,Utah,84660,7,28,"55,636","13,219",$157.55
72668,Servicing,New Construction,Refi-External,Texas,Houston,Harris,77011,3,4,"6,000","3,000",$61.88
72666,Servicing,All In One,Refi-External,California,Los Angeles,Los Angeles,90041,10,11,"20,194","20,194",$325.35
72664,Production,New Construction,Purchase,Washington,Carnation,King,98014,1,1,"2,500","2,500",$150.00
72661,Servicing,New Construction,Refi-External,Utah,Alpine,Utah,84004,1,1,"12,846","12,846",$195.55
72656,Servicing,All In One,Refi-External,Colorado,New Castle,Garfield,81647,6,30,"47,313","9,714",$430.21
72654,Servicing,New Construction,Refi-External,Utah,Mapleton,Utah,84664,1,1,"7,712","7,712",$210.06
72653,Servicing,Bridge to Build,Purchase,California,Wilmington,Los Angeles,90744,3,9,"12,150","4,050",$606.71
72652,Paid Off,New Construction,Refi-External,Illinois,Oswego,Kendall,60543,1,1,"3,340","3,340",$99.70
72651,Servicing,New Construction,Refi-Internal,California,Ceres,Stanislaus,95307,7,7,"11,480","11,480",$155.82
72649,Production,Multifamily,Purchase,Texas,Houston,Harris,77020,1,1,680,680,$220.59
72648,Servicing,New Construction,Refi-External,Florida,Ind Crk Vlg,Miami-Dade,33154,1,26,"46,488","1,788",$215.11
72647,Servicing,New Construction,Refi-External,Washington,Port Orchard,Kitsap,98367,1,1,"2,040","2,040",$202.86
72646,Servicing,Multifamily,Purchase,New Mexico,Albuquerque,Bernalillo,87123,2,2,"127,280","127,280",$5.11
72645,Production,New Construction,Refi-External,Texas,Houston,Harris,77020,2,2,"3,542","3,542",$258.61
72643,Servicing,All In One,Purchase,Tennessee,Nashville,Davidson,37207,6,21,"37,798","10,826",$134.57
72641,Servicing,New Construction,Refi-Internal,Utah,Garden City,Rich,84028,5,22,"40,880","9,315",$123.82
72640,Servicing,All In One,Purchase,District of Columbia,Washington,District of Columbia,20018,1,19,"16,400",900,$189.35
72636,Servicing,New Construction,Purchase,Washington,Cheney,Spokane,99004,1,1,"1,465","1,465",$136.52
72635,Production,New Construction,Refi-External,California,Los Angeles,Los Angeles,90037,1,3,"3,999","1,317",$205.65
72628,Production,New Construction,Refi-External,Utah,Alpine,Utah,84004,13,25,"6,906","3,445",$225.90
72626,Servicing,All In One,Refi-External,Idaho,Boise,Ada,83706,3,23,"48,765","5,969",$153.93
72624,Servicing,New Construction,Refi-External,Florida,Tampa,Hillsborough,33610,1,1,"1,572","1,572",$83.74
72621,Servicing,New Construction,Refi-External,Oregon,Bend,Deschutes,97707,1,1,"4,613","4,613",$75.87
72618,Servicing,New Construction,Refi-External,Nevada,Pahrump,Nye,89048,3,12,"11,688","2,922",$57.80
72614,Production,New Construction,Refi-External,Arizona,Phoenix,Maricopa,85009,6,6,"11,746","11,746",$215.67
72611,Servicing,New Construction,Purchase,California,Roseville,Placer,95747,5,5,"17,034","17,034",$165.59
72609,Servicing,New Construction,Refi-External,Idaho,Eagle,Ada,83616,1,1,"6,393","6,393",$156.42
72608,Servicing,New Construction,Purchase,Idaho,Meridian,Ada,83646,3,3,"7,782","7,782",$148.54
72607,Production,New Construction,Purchase,Wyoming,Buffalo,Johnson,82834,1,1,"2,740","2,740",$91.24
72606,Servicing,New Construction,Refi-External,Florida,Fort Lauderdale,Broward,33301,1,1,"7,700","7,700",$374.67
72604,Servicing,New Construction,Purchase,North Carolina,Carolina Bch,New Hanover,28428,1,5,"8,175","1,635",$196.19
72603,Servicing,New Construction,Refi-Internal,Florida,Jacksonville,Duval,32202,1,135,"87,680",571,$286.62
72595,Servicing,New Construction,Purchase,Idaho,Eagle,Ada,83616,1,1,"4,325","4,325",$184.97
72593,Servicing,New Construction,Refi-External,Ohio,Columbus City,Franklin,43205,1,1,"2,700","2,700",$129.63
72588,Production,New Construction,Refi-External,Kansas,Leawood,Johnson,66206,1,1,"4,300","4,300",$139.53
72584,Servicing,New Construction,Refi-External,Florida,Miromar Lakes,Lee,33913,1,1,"6,544","6,544",$257.04
72580,Servicing,New Construction,Purchase,Texas,Annetta S,Parker,76008,1,1,"3,832","3,832",$65.24
72579,Paid Off,New Construction,Refi-External,Colorado,Pueblo,Pueblo,81007,1,1,"1,702","1,702",$180.24
72565,Production,All In One,Refi-External,California,Lemon Grove,San Diego,91945,1,9,"17,379","1,784",$263.08
